ID,Text,Comment
Calloatti.Grid.ClearMarkersDescription,"Tek tek İşaretçileri silmek için bu aracı kullanın. Bir İşaretçiye tıklayarak silin.",
Calloatti.Grid.ClearMarkersTitle,"İşaretçileri temizle",
Calloatti.Grid.ClearRulersDescription,"Tek tek Cetvelleri silmek için bu aracı kullanın. Bir Cetvele tıklayarak silin.",
Calloatti.Grid.ClearRulersTitle,"Cetvelleri temizle",
Calloatti.Grid.DeleteAllMarkersDescription,"Haritaya yerleştirilen tüm İşaretçileri silmek için bu aracı kullanın.",
Calloatti.Grid.DeleteAllRulersDescription,"Haritaya yerleştirilen tüm Cetvelleri silmek için bu aracı kullanın.",
Calloatti.Grid.DeleteAllRulersTitle,"Tüm Cetvelleri Sil",
Calloatti.Grid.DeleteAllMarkersTitle,"Tüm İşaretçileri Sil",
Calloatti.Grid.DeleteAllWaterDescription,"Haritaya yerleştirilen tüm Su Planlayıcısı alanlarını temizlemek için bu aracı kullanın.",
Calloatti.Grid.DeleteAllWaterTitle,"Tüm Su Planlayıcısı alanlarını sil",
Calloatti.Grid.KeyBind.Toggle.Grid,"Arazi Izgarasını Değiştir",
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings,"Bina Izgarasını Değiştir",
Calloatti.Grid.KeyBind.Toggle.Markers,"İşaretçileri Değiştir",
Calloatti.Grid.KeyBind.Toggle.Rulers,"Cetvelleri Değiştir",
Calloatti.Grid.KeyBind.Toggle.Topo,"Topo Izgarasını Değiştir",
Calloatti.Grid.KeyBind.Toggle.Connectors,"Mekanik konnektörleri değiştir",
Calloatti.Grid.KeyBindingGroup,"Izgara",
Calloatti.Grid.MarkerToolDescription,"Haritaya İşaretçi eklemek için bu aracı kullanın. Bir İşaretçinin üzerine Shift+tıklayarak silin. Bir işaretçiye tıklayarak rengini değiştirin.",
Calloatti.Grid.MarkerToolTitle,"İşaretçi Ekle",
Calloatti.Grid.Markers.NotificationOff,"İşaretçiler: KAPALI",
Calloatti.Grid.Markers.NotificationOn,"İşaretçiler: AÇIK",
Calloatti.Grid.RulerCircleToolDescription,"Dairesel Cetveller eklemek için bu aracı kullanın. Merkezi yerleştirmek için bir bloğa tıklayın, ardından yarıçapı ayarlamak için tıklayın.",
Calloatti.Grid.RulerCircleToolTitle,"Dairesel Cetvel Ekle",
Calloatti.Grid.RulerToolDescription,"Cetvel eklemek/düzenlemek için bu aracı kullanın. Bir bloğa tıklayın, fareyi hareket ettirerek yönü seçin, cetvel önizlemesinin dışına/içine tıklayarak cetvel ekleyin. Cetvel bloğunda Ctrl+tıklama boşluk ekler, Ctrl+tıklama boşluğu artırır, kırmızı blokta Ctrl+tıklama cetveli sıfırlar.",
Calloatti.Grid.RulerToolTitle,"Cetvel Ekle ve Düzenle",
Calloatti.Grid.Rulers.NotificationOff,"Cetveller: KAPALI",
Calloatti.Grid.Rulers.NotificationOn,"Cetveller: AÇIK",
Calloatti.Grid.RulersHidden,"Cetveller Gizli",
Calloatti.Grid.RulersShown,"Cetveller Görünür",
Calloatti.Grid.ToolGroup.Name,"Izgara Araçları",
Calloatti.Grid.TopoData.NotificationOff,"Topo Verileri: KAPALI",
Calloatti.Grid.TopoData.NotificationOn,"Topo Verileri: AÇIK",
Calloatti.Grid.ClearWaterToolDescription,"Su Planlayıcısı alanlarını temizlemek için bu aracı kullanın.",
Calloatti.Grid.ClearWaterToolTitle,"Su Planlayıcısı alanlarını temizle",
Calloatti.Grid.WaterLowerToolDescription,"Su Planlayıcısı alanlarında su seviyesini düşürmek için bu aracı kullanın",
Calloatti.Grid.WaterLowerToolTitle,"Su Planlayıcısı alanlarını düşür",
Calloatti.Grid.WaterPlannerToolDescription,"Su Planlayıcısı alanları eklemek için bu aracı kullanın.",
Calloatti.Grid.WaterPlannerToolTitle,"Su Planlayıcısı alanları ekle",
Calloatti.Grid.WaterRiseToolDescription,"Su Planlayıcısı alanlarında su seviyesini yükseltmek için bu aracı kullanın",
Calloatti.Grid.WaterRiseToolTitle,"Su Planlayıcısı alanlarını yükselt",
"Calloatti.Grid.Connectors.NotificationOff","Mechanical Connectors: OFF",
"Calloatti.Grid.Connectors.NotificationOn","Mechanical Connectors: ON",
"Calloatti.Grid.Connectors.NotificationPreview","Mechanical Connectors: Preview only",
