ID,Text,Comment
Calloatti.Grid.ClearMarkersDescription,"Use this tool to delete individual Markers. Click on a Marker to delete it.",
Calloatti.Grid.ClearMarkersTitle,Clear Markers,
Calloatti.Grid.ClearRulersDescription,"Use this tool to delete individual Rulers. Click on a Ruler to delete it.",
Calloatti.Grid.ClearRulersTitle,Clear Rulers,
Calloatti.Grid.DeleteAllMarkersDescription,"Verwenden Sie dieses Werkzeug, um alle Markierungen auf der Karte zu löschen.",
Calloatti.Grid.DeleteAllRulersDescription,"Verwenden Sie dieses Werkzeug, um alle Lineale auf der Karte zu löschen.",
Calloatti.Grid.DeleteAllRulersTitle,"Alle Lineale löschen",
Calloatti.Grid.DeleteAllMarkersTitle,"Alle Markierungen löschen",
Calloatti.Grid.DeleteAllWaterDescription,"Verwenden Sie dieses Werkzeug, um alle Wasserplaner-Bereiche auf der Karte zu leeren.",
Calloatti.Grid.DeleteAllWaterTitle,"Alle Wasserplaner-Bereiche löschen",
Calloatti.Grid.KeyBind.Toggle.Grid,"Geländeraster umschalten",
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings," Gebäuderaster umschalten",
Calloatti.Grid.KeyBind.Toggle.Markers,"Markierungen umschalten",
Calloatti.Grid.KeyBind.Toggle.Rulers,"Lineale umschalten",
Calloatti.Grid.KeyBind.Toggle.Topo,"Topo-Raster umschalten",
Calloatti.Grid.KeyBindingGroup,"Raster",
Calloatti.Grid.MarkerToolDescription,"Verwenden Sie dieses Werkzeug, um Markierungen zur Karte hinzuzufügen. Umschalt-Klick über einer Markierung löscht sie. Klick auf eine Markierung wechselt die Farbe.",
Calloatti.Grid.MarkerToolTitle,"Markierung hinzufügen",
Calloatti.Grid.Markers.NotificationOff,"Markierungen: AUS",
Calloatti.Grid.Markers.NotificationOn,"Markierungen: AN",
Calloatti.Grid.RulerCircleToolDescription,"Use this tool to add circle Rulers. Click a block to place the center, then click to set the radius.",
Calloatti.Grid.RulerCircleToolTitle,Add Circle Rulers,
Calloatti.Grid.RulerToolDescription,"Verwenden Sie dieses Werkzeug, um Lineale hinzuzufügen/bearbeiten. Klicken Sie einen Block, wählen Sie die Ausrichtung durch Mausbewegen, klicken Sie außerhalb/innerhalb der Linealvorschau, um das Lineal hinzuzufügen. Strg-Klick auf Linealblock fügt eine Lücke hinzu, Strg-Klick vergrößert die Lücke, Strg-Klick auf roten Block setzt das Lineal zurück.",
Calloatti.Grid.RulerToolTitle,"Lineale hinzufügen und bearbeiten",
Calloatti.Grid.Rulers.NotificationOff,"Lineale: AUS",
Calloatti.Grid.Rulers.NotificationOn,"Lineale: AN",
Calloatti.Grid.RulersHidden,"Lineale ausgeblendet",
Calloatti.Grid.RulersShown,"Lineale sichtbar",
Calloatti.Grid.ToolGroup.Name,"Raster-Werkzeuge",
Calloatti.Grid.TopoData.NotificationOff,"Topo-Daten: AUS",
Calloatti.Grid.TopoData.NotificationOn,"Topo-Daten: AN",
Calloatti.Grid.ClearWaterToolDescription,"Verwenden Sie dieses Werkzeug, um Wasserplaner-Bereiche zu leeren.",
Calloatti.Grid.ClearWaterToolTitle,"Wasserplaner-Bereiche leeren",
Calloatti.Grid.WaterLowerToolDescription,"Verwenden Sie dieses Werkzeug, um den Wasserstand in Wasserplaner-Bereichen zu senken",
Calloatti.Grid.WaterLowerToolTitle,"Wasserplaner-Bereiche senken",
Calloatti.Grid.WaterPlannerToolDescription,"Verwenden Sie dieses Werkzeug, um Wasserplaner-Bereiche hinzuzufügen.",
Calloatti.Grid.WaterPlannerToolTitle,"Wasserplaner-Bereiche hinzufügen",
Calloatti.Grid.WaterRiseToolDescription,"Verwenden Sie dieses Werkzeug, um den Wasserstand in Wasserplaner-Bereichen zu erhöhen",
Calloatti.Grid.WaterRiseToolTitle,"Wasserplaner-Bereiche erhöhen",
