ID,Text,Comment
human-made-translation,"human-made-translation",
Calloatti.Grid.DeleteAllDescription,"Використайте цей інструмент, щоб видалити всі позначки на карті.",
Calloatti.Grid.DeleteAllRulersDescription,"Використайте цей інструмент, щоб видалити всі лінійки на карті.",
Calloatti.Grid.DeleteAllRulersTitle,Видалити всі лінійки,
Calloatti.Grid.DeleteAllTitle,Видалити всі позначки,
Calloatti.Grid.DeleteAllWaterDescription,"Використайте цей інструмент, щоб очистити всі області планувальника води на карті.",
Calloatti.Grid.DeleteAllWaterTitle,"Очистити області планувальника води",
Calloatti.Grid.KeyBind.Toggle.Grid,Перемкнути сітку рельєфу,
Calloatti.Grid.KeyBind.Toggle.Grid.Buildings, Перемкнути сітку будівель,
Calloatti.Grid.KeyBind.Toggle.Markers,Перемкнути позначки,
Calloatti.Grid.KeyBind.Toggle.Rulers,Перемкнути лінійки,
Calloatti.Grid.KeyBind.Toggle.Topo,"Перемкнути топографічну сітку",
Calloatti.Grid.KeyBindingGroup,Сітка,
Calloatti.Grid.MarkerToolDescription,"Використайте цей інструмент, щоб додавати позначки на карту. Натисніть Shift + клацання на позначці, щоб видалити її. Клацніть позначку, щоб змінити її колір.",
Calloatti.Grid.MarkerToolTitle,Додати позначку,
Calloatti.Grid.Markers.NotificationOff,"Позначки: ВИМК.",
Calloatti.Grid.Markers.NotificationOn,"Позначки: УВІМК.",
Calloatti.Grid.RulerToolDescription,"Використайте цей інструмент, щоб додавати й редагувати лінійки. Клацніть клітинку, виберіть напрямок, переміщуючи курсор, а потім клацніть поза або всередині попереднього перегляду лінійки, щоб створити її. Ctrl + клацання по лінійці додає розрив, повторне Ctrl + клацання збільшує його, а Ctrl + клацання по червоному блоку скидає лінійку.",
Calloatti.Grid.RulerToolTitle,Додати та редагувати лінійки,
Calloatti.Grid.Rulers.NotificationOff,"Лінійки: ВИМК.",
Calloatti.Grid.Rulers.NotificationOn,"Лінійки: УВІМК.",
Calloatti.Grid.RulersHidden,Лінійки приховано,
Calloatti.Grid.RulersShown,Лінійки показано,
Calloatti.Grid.ToolGroup.Name,Інструменти сітки,
Calloatti.Grid.TopoData.NotificationOff,"Топографічні дані: ВИМК.",
Calloatti.Grid.TopoData.NotificationOn,"Топографічні дані: УВІМК.",
Calloatti.Grid.WaterEraserToolDescription,"Використайте цей інструмент, щоб очистити області планувальника води.",
Calloatti.Grid.WaterEraserToolTitle,"Очистити області планувальника води",
Calloatti.Grid.WaterLowerToolDescription,"Використайте цей інструмент, щоб знизити рівень води в областях планувальника води.",
Calloatti.Grid.WaterLowerToolTitle,"Знизити рівень води",
Calloatti.Grid.WaterPlannerToolDescription,"Використайте цей інструмент, щоб додати області планувальника води.",
Calloatti.Grid.WaterPlannerToolTitle,"Додати області планувальника води",
Calloatti.Grid.WaterRiseToolDescription,"Використайте цей інструмент, щоб підвищити рівень води в областях планувальника води.",
Calloatti.Grid.WaterRiseToolTitle,"Підвищити рівень води",
